stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
40.1055756667,,-88.2073043333,WASHBDWY,,,,Washington and Broadway,1,
40.092704835,,-88.259910665,BDMRLNWD,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bdmrlnwd,,,Broadmoor and Lynwood,1,
40.1109283333,,-88.1958322233,CTGRVGRN,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ctgrvgrn,,,Cottage Grove and Green,1,
40.1222804354,,-88.2933811361,CLTNPMNA,http://www.cumtd.com/maps-and-schedules/bus-stops/info/cltnpmna,,,Clayton and Pomona,1,
40.12009167,,-88.23364333,WASH4TH:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wash4th,WASH4TH,,Washington & Fourth (NE Corner),0,
40.11999333,,-88.233875,WASH4TH:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wash4th,WASH4TH,,Washington & Fourth (SW Corner),0,
40.11617167,,-88.19598833,UNICTGRV:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/unictgrv,UNICTGRV,,University & Cottage Grove (SW Corner),0,
40.109000835,,-88.248430835,JOHNPRRE,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johnprre,,,John and Prairie,1,
40.116275,,-88.19576833,UNICTGRV:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/unictgrv,UNICTGRV,,University & Cottage Grove (NE Corner),0,
40.073485,,-88.207038335,SWNDPSMN,http://www.cumtd.com/maps-and-schedules/bus-stops/info/swndpsmn,,,Sherwin and Persimmon,1,
40.1322469436,,-88.2580870833,BLOMPSPCT,http://www.cumtd.com/maps-and-schedules/bus-stops/info/blompspct,,,Bloomington and Prospect,1,
40.12350667,,-88.19470833,CROL,http://www.cumtd.com/maps-and-schedules/bus-stops/info/crol,,,Carroll between Community Center and Ker,1,
40.10160333,,-88.23346833,4THPDY:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/4thpdy,4THPDY,,Fourth & Peabody (NW Corner),0,
40.092186,,-88.314247,BRTTRLSTLY:4,,BRTTRLSTLY,,Brittany Trail & Staley (NW Corner),0,
40.10133,,-88.23330667,4THPDY:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/4thpdy,4THPDY,,Fourth & Peabody (SE Corner),0,
40.101505,,-88.23325833,4THPDY:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/4thpdy,4THPDY,,Fourth & Peabody (NE Corner),0,
40.0957725,,-88.283262165,CRSNTSWD,http://www.cumtd.com/maps-and-schedules/bus-stops/info/crsntswd,,,Crescent and Southwood,1,
40.142028,,-88.181412,ARPRTSKYLN:3,,ARPRTSKYLN,,Airport & Skyline (SW Corner),0,
